"calendar year","6-monthly","cause of injury = traffic","count of cases excluding died in hospitals within 30 days","bed days excluding died in hospitals within 30 days"
"2011","Jan-Jun","Traffic",5223,26089
"2011","Jan-Jun","Traffic",4585,16699
"2011","Jan-Jun","Traffic",3017,13967
"2011","Jan-Jun","Traffic",1724,9384
"2011","Jan-Jun","Traffic",1147,6446
"2011","Jan-Jun","Traffic",247,1360
"2011","Jan-Jun","Traffic",283,1462
"2011","Jan-Jun","Traffic",213,1812
"2011","Jul-Dec","Traffic",5395,24255
"2011","Jul-Dec","Traffic",4741,17225
"2011","Jul-Dec","Traffic",3305,14566
"2011","Jul-Dec","Traffic",1718,9101
"2011","Jul-Dec","Traffic",1212,5586
"2011","Jul-Dec","Traffic",246,1746
"2011","Jul-Dec","Traffic",254,1114
"2011","Jul-Dec","Traffic",243,1198
"2012","Jan-Jun","Traffic",5430,23685
"2012","Jan-Jun","Traffic",4669,16007
"2012","Jan-Jun","Traffic",3166,14316
"2012","Jan-Jun","Traffic",1692,8820
"2012","Jan-Jun","Traffic",1107,6097
"2012","Jan-Jun","Traffic",271,1698
"2012","Jan-Jun","Traffic",313,1281
"2012","Jan-Jun","Traffic",215,1296
"2012","Jul-Dec","Traffic",5691,26273
"2012","Jul-Dec","Traffic",3429,14238
"2012","Jul-Dec","Traffic",3647,16098
"2012","Jul-Dec","Traffic",1801,9079
"2012","Jul-Dec","Traffic",1204,6336
"2012","Jul-Dec","Traffic",265,1150
"2012","Jul-Dec","Traffic",288,985
"2012","Jul-Dec","Traffic",281,1659
"2013","Jan-Jun","Traffic",5468,22885
"2013","Jan-Jun","Traffic",3898,15316
"2013","Jan-Jun","Traffic",3719,14091
"2013","Jan-Jun","Traffic",1802,8477
"2013","Jan-Jun","Traffic",1063,5711
"2013","Jan-Jun","Traffic",278,1384
"2013","Jan-Jun","Traffic",308,1521
"2013","Jan-Jun","Traffic",258,1694
"2013","Jul-Dec","Traffic",5953,24154
"2013","Jul-Dec","Traffic",3886,13750
"2013","Jul-Dec","Traffic",4102,14928
"2013","Jul-Dec","Traffic",1673,8749
"2013","Jul-Dec","Traffic",1158,5860
"2013","Jul-Dec","Traffic",292,1507
"2013","Jul-Dec","Traffic",265,996
"2013","Jul-Dec","Traffic",303,1967
"2014","Jan-Jun","Traffic",5622,23299
"2014","Jan-Jun","Traffic",4237,15278
"2014","Jan-Jun","Traffic",3743,14017
"2014","Jan-Jun","Traffic",1609,8045
"2014","Jan-Jun","Traffic",1225,5380
"2014","Jan-Jun","Traffic",333,1537
"2014","Jan-Jun","Traffic",278,1020
"2014","Jan-Jun","Traffic",289,1512
"2014","Jul-Dec","Traffic",5691,22741
"2014","Jul-Dec","Traffic",4286,13747
"2014","Jul-Dec","Traffic",3982,14999
"2014","Jul-Dec","Traffic",1545,8544
"2014","Jul-Dec","Traffic",1156,5816
"2014","Jul-Dec","Traffic",313,1332
"2014","Jul-Dec","Traffic",264,1006
"2014","Jul-Dec","Traffic",286,1455
"2015","Jan-Jun","Traffic",5621,21591
"2015","Jan-Jun","Traffic",4532,14915
"2015","Jan-Jun","Traffic",4082,13509
"2015","Jan-Jun","Traffic",1587,8444
"2015","Jan-Jun","Traffic",1180,5232
"2015","Jan-Jun","Traffic",345,1703
"2015","Jan-Jun","Traffic",336,1301
"2015","Jan-Jun","Traffic",323,1401
"2015","Jul-Dec","Traffic",5463,32740
"2015","Jul-Dec","Traffic",4666,35157
"2015","Jul-Dec","Traffic",4224,20761
"2015","Jul-Dec","Traffic",1596,10001
"2015","Jul-Dec","Traffic",1287,5935
"2015","Jul-Dec","Traffic",332,1740
"2015","Jul-Dec","Traffic",364,1595
"2015","Jul-Dec","Traffic",368,2060
"2016","Jan-Jun","Traffic",5776,30313
"2016","Jan-Jun","Traffic",5200,32950
"2016","Jan-Jun","Traffic",4268,19274
"2016","Jan-Jun","Traffic",1508,10764
"2016","Jan-Jun","Traffic",1370,7163
